index,year,name,default,alive,dateOfBirth,dateOfEnd,old,ageSummary,ageValue,ageOtherInfo,young,gender,nation,glass,zodiac,educationGeneral,educationDegree,educationGeneral_U1,educationGeneral_A1,educationGeneral_U2,educationGeneral_A2,educationGeneral_U3,educationGeneral_A3,educationAbroad,educationAbroad_img,educationAbroad_O,educationAbroad_U1,educationAbroad_A1,educationAbroad_U2,educationAbroad_A2,educationAbroad_U3,educationAbroad_A3,otherCareer,otherCareer_O1,otherCareer_role1_r,otherCareer_role1_b,otherCareer_role1_g,otherCareer_O2,otherCareer_role2_r,otherCareer_role2_b,teach,travel,travel_O1,travel_location1,travel_O2,travel_works,travel_O3,travel_figures,travel_O4,travel_location2,travel_O5,work,age,corbu,esTime,thingsDone_studied,thingsDone_worked,thingsDone_traveled,thingsDone_taught,thingsDone_O1,wonTime
0,2023,David Chipperfield,2023,1,12/18/1953,8/11/2023,69,he is at the age of,69,,2023,Male,United Kingdom,glass,Sagittarius,Y,M.Arch,Kingston School of Art,"(London, United Kingdom, graduated in 1976)",  ->  Architectural Association School of Architecture,"(London, United Kingdom, graduated in 1977)",,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had wanted to be ,"a veterinarian,",,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2023,NA,8,"studied,","worked,",,,before established his own practice.,38
1,2022,Diebedo Francis Kere,2022,1,4/10/1965,8/11/2023,58,he is at the age of,58,,2022,Male,Burkina_Faso(Germany),eye,Aries,N,Bsc,Technical University Berlin,"(Berlin, Germany, graduated in 2004)",,,,,Y,bfaToGermany,,Technical University Berlin,"(Berlin, Germany, graduated in 2004)",,,,,Y,have been,"a carpenter, ",,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2022,NA,1,"studied,","worked,",,,before established his own practice.,17
2,2021,Jean-Philippe Vassal,2021_1,1,2/22/1954,8/11/2023,69,he is at the age of,69,,2021_1,Male,France,glass,Pisces,Y,B.Arch,ENSAP Bordeaux,"(Talence, France, graduated in 1980)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2021_1,NA,7,,"worked,",,,before established his own practice.,34
3,2021,Anne Lacaton,2021_2,1,8/2/1955,8/11/2023,68,she is at the age of,68,,2021_2,Female,France,glass,Leo,Y,M.Arch,ENSAP Bordeaux,"(Talence, France, graduated in 1984)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2021_2,NA,3,"studied,",,,,before established her own practice.,34
4,2020,Yvonne Farrell ,2020_2,1,1/1/1951,8/11/2023,72,she is at the age of,72,,2020_2,Female,Ireland,eye,NA,Y,B.Arch,University College Dublin ,"(Dublin, Ireland, graduated in 1976)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2020_2,NA,2,,,,"taught,",before established her own practice.,42
5,2020,Shelley McNamara,2020_1,1,1/1/1952,8/11/2023,71,she is at the age of,71,,2020_1,Female,Ireland,eye,NA,Y,B.Arch,University College Dublin,"(Dublin, Ireland, graduated in 1976)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2020_1,NA,2,,,,"taught,",before established her own practice.,42
6,2019,Arata Isozaki,2019,0,7/23/1931,12/28/2022,91_Arata_ Isozaki_2019,he passed away at the age of,91,,2019,Male,Japan,eye,Leo,Y,B.Arch,University of Tokyo,"(Tokyo, Japan, graduated in 1954)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2019,NA,9,,"worked,",,,before established his own practice.,56
7,2018,B.V.Doshi,2018,0,8/26/1927,1/24/2023,95_B_V_Doshi_2018,he passed away at the age of,95,,2018,Male,India,glass,Virgo,Y,B.Arch,Sir J. J. College of Architecture,"(Mumbai, India, graduated in 1950)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2018,Y,6,,"worked,",,,before established his own practice.,62
8,2017,Rafael Aranda ,2017_1,1,5/12/1961,8/11/2023,62,he is at the age of,62,,2017_1,Male,Spain,eye,Taurus,Y,B.Arch,The Polytechnic University of Catalonia,"(Barcelona, Spain, graduated in 1987)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2017_1,NA,1,,,,,established his own practice the following year of graduation.,29
9,2017,Carme Pigem,2017_2,1,4/8/1962,8/11/2023,61,she is at the age of,61,,2017_2,Female,Spain,eye,Aries,Y,B.Arch,The Polytechnic University of Catalonia,"(Barcelona, Spain, graduated in 1987)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2017_2,NA,1,,,,,established her own practice the following year of graduation.,29
10,2017,Ramon Vilalta,2017_3,1,4/25/1960,8/11/2023,63,he is at the age of,63,,2017_3,Male,Spain,eye,Taurus,Y,B.Arch,The Polytechnic University of Catalonia,"(Barcelona, Spain, graduated in 1987)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2017_3,NA,1,,,,,established his own practice the following year of graduation.,29
11,2016,Alejandro Aravena,2016,1,6/22/1967,8/11/2023,56,he is at the age of,56,", the youngest of the laureates alive.",2016,Male,Chile,eye,Cancer,Y,M.Arch,Pontifical Catholic University of Chile,"(Santiago, Chile, graduated in 1992)",  ->  Iuav University of Venice,"(Venice, Italy,  graduated in 1993)",,,Y,chileToItaly,,Iuav University of Venice,"(Venice, Italy,  graduated in 1993)",,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2016,NA,2,"studied,",,,,before established his own practice.,22
12,2015,Frei Otto,2015,0,5/31/1925,3/9/2015,89_Frei_Otto_2015,he passed away at the age of,89,,2015,Male,Germany,eye,Gemini,Y,D.Eng,Technical University of Berlin ,"(Berlin, Germany)",  ->  University of Virginia,"(Virginia, United States)",,,Y,GermanyToUS,,University of Virginia,"(Virginia, United States)",,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2015,NA,2,"studied,",,"traveled,",,before established his own practice.,63
13,2014,Shigeru Ban,2014,1,8/5/1957,8/11/2023,66,he is at the age of,66,,2014,Male,Japan,eye,Leo,Y,B.Arch,Tokyo University of the Arts,"(Tokyo, Japan)",  ->  Southern California Institute of Architecture,"(Los Angelers, United States) ", Cooper Union's School of Architecture ,"(New York City, United Sates)",Y,JapanToUS,,Southern California Institute of Architecture,"(Los Angelers, United States) ", -> Cooper Union's School of Architecture ,"(New York City, United Sates)",,,Y,had wanted to be ,"a carpenter, ",,,and ,a rugby player.,,Y,Y,had took a trip to,Europe,"after graduated from  Cooper Union. In Finland, he stunned by",the works of Alvar Aalto.,,,,,,Y,2014,NA,5,"studied,","worked,","traveled,",,before established his own practice.,29
